ACS Code	Knowledge
CA.I.A.K1	Certification requirements, recent flight experience, and recordkeeping.
CA.I.A.K2	Privileges and limitations.
CA.I.A.K3	Medical certificates: class, expiration, privileges, temporary disqualifications.
CA.I.A.K4	Documents required to exercise commercial pilot privileges.
CA.I.A.K5	Part 68 BasicMed privileges and limitations.
CA.I.B.K1	General airworthiness requirements and compliance for airplanes, including:
CA.I.B.K1a	a. Certificate location and expiration dates
CA.I.B.K1b	b. Required inspections and airplane logbook documentation
CA.I.B.K1c	c. Airworthiness Directives and Special Airworthiness Information Bulletins
CA.I.B.K1d	d. Purpose and procedure for obtaining a special flight permit
CA.I.B.K2	Pilot-performed preventive maintenance.
CA.I.B.K3	Equipment requirements for day and night VFR flight, to include:
CA.I.B.K3a	a. Flying with inoperative equipment
CA.I.B.K3b	b. Using an approved Minimum Equipment List (MEL)
CA.I.B.K3c	c. Kinds of Operation Equipment List (KOEL)
CA.I.B.K3d	d. Required discrepancy records or placards
CA.I.C.K1	Sources of weather data (e.g., National Weather Service, Flight Service) for flight planning purposes.
CA.I.C.K2	Acceptable weather products and resources required for preflight planning, current and forecast weather for departure, en route, and arrival phases of flight.
CA.I.C.K3	Meteorology applicable to the departure, en route, alternate, and destination under VFR in Visual Meteorological Conditions (VMC) to include expected climate and hazardous conditions such as:
CA.I.C.K3a	a. Atmospheric composition and stability
CA.I.C.K3b	b. Wind (e.g., crosswind, tailwind, wind shear, mountain wave, etc.)
CA.I.C.K3c	c. Temperature
CA.I.C.K3d	d. Moisture/precipitation
CA.I.C.K3e	e. Weather system formation, including air masses and fronts
CA.I.C.K3f	f. Clouds
CA.I.C.K3g	g. Turbulence
CA.I.C.K3h	h. Thunderstorms and microbursts
CA.I.C.K3i	i. Icing and freezing level information
CA.I.C.K3j	j. Fog/mist
CA.I.C.K3k	k. Frost
CA.I.C.K3l	l. Obstructions to visibility (e.g., smoke, haze, volcanic ash, etc.)
CA.I.C.K4	Flight deck displays of digital weather and aeronautical information.
CA.I.D.K1	Route planning, including consideration of different classes and special use airspace (SUA) and selection of appropriate and available navigation/communication systems and facilities.
CA.I.D.K2	Altitude selection accounting for terrain and obstacles, glide distance of the airplane, VFR cruising altitudes, and the effect of wind.
CA.I.D.K3	Calculating:
CA.I.D.K3a	a. Time, climb and descent rates, course, distance, heading, true airspeed, and groundspeed
CA.I.D.K3b	b. Estimated time of arrival to include conversion to universal coordinated time (UTC)
CA.I.D.K3c	c. Fuel requirements, to include reserve
CA.I.D.K4	Elements of a VFR flight plan.
CA.I.D.K5	Procedures for activating and closing a VFR flight plan.
CA.I.E.K1	Types of airspace/airspace classes and associated requirements and limitations.
CA.I.E.K2	Charting symbology.
CA.I.E.K3	Special use airspace (SUA), special flight rules areas (SFRA), temporary flight restrictions (TFR), and other airspace areas.
CA.I.F.K1	Elements related to performance and limitations by explaining the use of charts, tables, and data to determine performance.
CA.I.F.K2	Factors affecting performance, to include:
CA.I.F.K2a	a. Atmospheric conditions
CA.I.F.K2b	b. Pilot technique
CA.I.F.K2c	c. Airplane configuration
CA.I.F.K2d	d. Airport environment
CA.I.F.K2e	e. Loading (e.g., center of gravity)
CA.I.F.K2f	f. Weight and balance
CA.I.F.K3	Aerodynamics.
CA.I.G.K1	Airplane systems, to include: Note: If K1 is selected, the evaluator must assess the applicant’s knowledge of at least three of the following sub-elements.
CA.I.G.K1a	a. Primary flight controls
CA.I.G.K1b	b. Secondary flight controls
CA.I.G.K1c	c. Powerplant and propeller
CA.I.G.K1d	d. Landing gear
CA.I.G.K1e	e. Fuel, oil, and hydraulic
CA.I.G.K1f	f. Electrical
CA.I.G.K1g	g. Avionics
CA.I.G.K1h	h. Pitot-static, vacuum/pressure, and associated flight instruments
CA.I.G.K1i	i. Environmental
CA.I.G.K1j	j. Deicing and anti-icing
CA.I.G.K1k	k. Water rudders (ASES, AMES)
CA.I.G.K1l	l. Oxygen system
CA.I.G.K2	Indications of and procedures for managing system abnormalities or failures.
CA.I.H.K1	The symptoms (as applicable), recognition, causes, effects, and corrective actions associated with aeromedical and physiological issues including:
CA.I.H.K1a	a. Hypoxia
CA.I.H.K1b	b. Hyperventilation
CA.I.H.K1c	c. Middle ear and sinus problems
CA.I.H.K1d	d. Spatial disorientation
CA.I.H.K1e	e. Motion sickness
CA.I.H.K1f	f. Carbon monoxide poisoning
CA.I.H.K1g	g. Stress
CA.I.H.K1h	h. Fatigue
CA.I.H.K1i	i. Dehydration and nutrition
CA.I.H.K1j	j. Hypothermia
