ACS Code,Knowledge
PA.I.A.K1,"Certification requirements, recent flight experience, and recordkeeping."
PA.I.A.K2,Privileges and limitations.
PA.I.A.K3,"Medical certificates: class, expiration, privileges, temporary disqualifications."
PA.I.A.K4,Documents required to exercise private pilot privileges.
PA.I.A.K5,Part 68 BasicMed privileges and limitations.
PA.I.B.K1,"General airworthiness requirements and compliance for airplanes, including:"
PA.I.B.K1a,a. Certificate location and expiration dates
PA.I.B.K1b,b. Required inspections and airplane logbook documentation
PA.I.B.K1c,c. Airworthiness Directives and Special Airworthiness Information Bulletins
PA.I.B.K1d,d. Purpose and procedure for obtaining a special flight permit
PA.I.B.K2,Pilot-performed preventive maintenance.
PA.I.B.K3,"Equipment requirements for day and night VFR flight, to include:"
PA.I.B.K3a,a. Flying with inoperative equipment
PA.I.B.K3b,b. Using an approved Minimum Equipment List (MEL)
PA.I.B.K3c,c. Kinds of Operation Equipment List (KOEL)
PA.I.B.K3d,d. Required discrepancy records or placards
PA.I.C.K1,"Sources of weather data (e.g., National Weather Service, Flight Service) for flight planning purposes."
PA.I.C.K2,"Acceptable weather products and resources required for preflight planning, current and forecast weather for departure, en route, and arrival phases of flight."
PA.I.C.K3,"Meteorology applicable to the departure, en route, alternate, and destination under VFR in Visual Meteorological Conditions (VMC) to include expected climate and hazardous conditions such as:"
PA.I.C.K3a,a. Atmospheric composition and stability
PA.I.C.K3b,"b. Wind (e.g., crosswind, tailwind, windshear, mountain wave, etc.)"
PA.I.C.K3c,c. Temperature
PA.I.C.K3d,d. Moisture/precipitation
PA.I.C.K3e,"e. Weather system formation, including air masses and fronts"
PA.I.C.K3f,f. Clouds
PA.I.C.K3g,g. Turbulence
PA.I.C.K3h,h. Thunderstorms and microbursts
PA.I.C.K3i,i. Icing and freezing level information
PA.I.C.K3j,j. Fog/mist
PA.I.C.K3k,k. Frost
PA.I.C.K3l,"l. Obstructions to visibility (e.g., smoke, haze, volcanic ash, etc.)"
PA.I.C.K4,Flight deck displays of digital weather and aeronautical information.
PA.I.D.K1,"Route planning, including consideration of different classes and special use airspace (SUA) and selection of appropriate and available navigation/communication systems and facilities."
PA.I.D.K2,"Altitude selection accounting for terrain and obstacles, glide distance of the airplane, VFR cruising altitudes, and the effect of wind."
PA.I.D.K3,Calculating:
PA.I.D.K3a,"a. Time, climb and descent rates, course, distance, heading, true airspeed, and groundspeed"
PA.I.D.K3b,b. Estimated time of arrival to include conversion to universal coordinated time (UTC)
PA.I.D.K3c,"c. Fuel requirements, to include reserve"
PA.I.D.K4,Elements of a VFR flight plan.
PA.I.D.K5,Procedures for activating and closing a VFR flight plan.
PA.I.E.K1,Types of airspace/airspace classes and associated requirements and limitations.
PA.I.E.K2,Charting symbology.
